Date,Pivot Point,Support Level 1,Support Level 2,Resistance Level 1,Resistance Level 2
2021-01-15,26.366666158040363,24.733332316080727,23.82666524251302,27.27333323160807,28.906667073567707
2021-01-19,26.720000584920246,25.90000025431315,25.179999669392902,27.440001169840492,28.26000150044759
2021-01-20,26.446666717529297,25.593334197998047,24.846668243408203,27.19333267211914,28.04666519165039
2021-01-21,25.986666361490887,25.293332417805992,24.606665293375652,26.673333485921226,27.36666742960612
2021-01-22,30.350001017252605,28.050000508626304,23.519999186197918,34.88000233968099,37.180002848307296
2021-01-25,35.1233336130778,30.666665395100907,25.103331247965492,40.68666776021321,45.1433359781901
2021-01-26,35.519999186197914,34.16999944051106,32.96999994913737,36.71999867757161,38.06999842325846
2021-01-27,38.75,32.5,26.0,45.25,51.5
2021-01-28,36.91999944051107,31.83999888102214,28.019997914632164,40.740000406901046,45.820000966389976
2021-01-29,35.949999491373696,33.89000066121419,32.6000010172526,37.23999913533528,39.29999796549479
2021-02-01,34.0533332824707,32.48666763305664,31.013336181640625,35.52666473388672,37.09333038330078
2021-02-02,31.906667073567707,29.61333338419596,28.206666310628254,33.313334147135414,35.60666783650716
2021-02-03,32.03000005086263,31.109999338785812,30.45999844868978,32.680000940958664,33.600001653035484
2021-02-04,32.09333292643229,31.006665547688797,29.963331858317055,33.13666661580403,34.223333994547524
2021-02-05,33.666666666666664,32.133332570393875,30.21666590372721,35.58333333333333,37.11666742960612
2021-02-08,37.0533332824707,34.88666534423828,33.723331451416016,38.21666717529297,40.38333511352539
2021-02-09,37.518333435058594,36.78166580200195,35.393333435058594,38.90666580200195,39.643333435058594
2021-02-10,36.313334147135414,34.38666661580403,33.07333246866862,37.62666829427083,39.55333582560221
2021-02-11,33.90000025431315,31.82000096638997,30.530001322428383,35.189999898274735,37.269999186197914
2021-02-12,32.300000508626304,30.949999491373703,29.98999913533529,33.26000086466472,34.61000188191732
2021-02-16,28.52666664123535,26.613332748413086,25.38666534423828,29.753334045410156,31.666667938232422
2021-02-17,27.93666648864746,26.143333435058594,25.206666946411133,28.873332977294922,30.66666603088379
2021-02-18,25.326666514078777,24.34333356221517,23.516667048136394,26.153333028157554,27.13666598002116
2021-02-19,28.619999567667644,27.280000050862633,25.56000010172526,30.339999516805015,31.679999033610027
2021-02-22,28.57533327738444,26.960666020711265,25.921332041422527,29.61466725667318,31.229334513346355
2021-02-23,26.03666623433431,24.61333338419596,22.476666768391926,28.173332850138344,29.59666570027669
2021-02-24,26.456666310628254,25.68333307902018,24.976666768391926,27.163332621256508,27.936665852864582
2021-02-25,24.516666412353516,22.593332290649414,21.226665496826172,25.883333206176758,27.80666732788086
2021-02-26,23.700000127156574,22.90000025431315,21.900000890096027,24.699999491373696,25.49999936421712
2021-03-01,25.109999974568684,24.320000330607094,23.83000119527181,25.59999910990397,26.38999875386556
2021-03-02,24.77666664123535,23.963333129882812,23.446666717529297,25.293333053588867,26.106666564941406
2021-03-03,24.062666575113933,22.957333882649742,22.32466761271159,24.695332845052086,25.800665537516277
2021-03-04,24.446666081746418,23.333332697550453,21.936665852864582,25.84333292643229,26.956666310628254
2021-03-05,22.93666712443034,21.193333943684898,18.43666712443034,25.693333943684898,27.43666712443034
2021-03-08,23.166666666666668,21.75333340962728,20.986666361490887,23.933333714803062,25.34666697184245
2021-03-09,24.03333346048991,23.326667149861656,22.393334070841473,24.966666539510094,25.673332850138348
2021-03-10,25.086666742960613,23.933333714803062,23.11666742960612,25.903333028157554,27.056666056315105
2021-03-11,26.383333206176758,25.926666259765625,25.123332977294922,27.18666648864746,27.643333435058594
2021-03-12,26.34000015258789,25.760000228881836,24.600000381469727,27.5,28.079999923706055
2021-03-15,26.856666564941406,26.24333381652832,25.696666717529297,27.40333366394043,28.016666412353516
2021-03-16,25.980000178019207,24.859999974568687,24.10999933878581,26.730000813802086,27.850001017252605
2021-03-17,25.079999287923176,24.429999033610024,23.649998982747395,25.859999338785805,26.509999593098957
2021-03-18,24.31333351135254,23.446666717529297,22.913333892822266,24.84666633605957,25.713333129882812
2021-03-19,24.093332926432293,23.616666158040367,22.91333262125651,24.796666463216148,25.273333231608074
2021-03-22,24.333333333333332,23.74666659037272,23.27333386739095,24.806666056315102,25.393332799275715
2021-03-23,23.488333384195965,22.8716672261556,22.483334223429363,23.876666386922203,24.493332544962566
2021-03-24,22.371666590372723,21.258332570393883,20.63666598002116,22.993333180745445,24.106667200724285
2021-03-25,22.143332799275715,21.486666361490883,20.393332799275715,23.236666361490883,23.893332799275715
2021-03-26,22.463333129882812,21.876667022705078,21.1733341217041,23.16666603088379,23.753332138061523
2021-03-29,21.873332977294922,21.246665954589844,20.76333236694336,22.356666564941406,22.983333587646484
2021-03-30,21.663333892822266,21.23666763305664,20.433334350585938,22.46666717529297,22.893333435058594
2021-03-31,23.173333485921223,22.49666659037272,21.703332265218098,23.966667811075844,24.643334706624348
2021-04-01,23.25,22.549999237060547,22.029998779296875,23.770000457763672,24.470001220703125
2021-04-05,23.74333381652832,23.036666870117188,22.633333206176758,24.14666748046875,24.853334426879883
2021-04-06,23.236666997273762,22.86333338419596,22.456666310628254,23.64333407084147,24.01666768391927
2021-04-07,23.086666107177734,22.623332977294922,22.34666633605957,23.363332748413086,23.8266658782959
2021-04-08,23.25,22.899999618530273,22.389999389648438,23.760000228881836,24.110000610351562
2021-04-09,23.920000712076824,23.49000104268392,22.940001169840496,24.47000058492025,24.900000254313152
2021-04-12,23.53999964396159,22.530000050862633,21.71999994913737,24.34999974568685,25.35999933878581
2021-04-13,24.73300043741862,23.807000478108726,22.194000879923504,26.346000035603844,27.271999994913738
2021-04-14,24.516667048136394,22.833333333333336,21.966665903727215,25.383334477742515,27.066668192545574
2021-04-15,23.299999872843426,22.54000027974447,21.93000094095866,23.909999211629234,24.66999880472819
2021-04-16,22.676666259765625,22.093332290649414,21.716665267944336,23.053333282470703,23.636667251586914
2021-04-19,21.93333371480306,21.536667505900063,21.133334477742512,22.33666674296061,22.733332951863606
2021-04-20,21.856666564941406,21.163333892822266,20.546667098999023,22.47333335876465,23.16666603088379
2021-04-21,22.233332951863606,21.826666514078774,21.02333386739095,23.03666559855143,23.443332036336262
2021-04-22,22.96000035603841,22.410000483194985,21.96000035603841,23.410000483194985,23.96000035603841
2021-04-23,23.233332951863606,22.916666666666664,22.423333485921223,23.726666132609047,24.04333241780599
2021-04-26,23.94333330790202,23.626666386922203,23.14333216349284,24.426667531331383,24.7433344523112
2021-04-27,23.90333302815755,23.546665827433266,23.213332494099934,24.236666361490883,24.593333562215168
2021-04-28,23.81333351135254,23.456666946411133,23.06333351135254,24.206666946411133,24.56333351135254
2021-04-29,23.43999989827474,22.74000040690104,22.109999974568684,24.070000330607094,24.769999821980793
2021-04-30,23.143333435058594,22.73666763305664,22.433334350585938,23.446666717529297,23.85333251953125
2021-05-03,22.529999415079754,21.979998906453453,21.659998575846355,22.84999974568685,23.400000254313152
2021-05-04,21.570000330607098,20.939999898274742,20.240000406901043,22.269999821980797,22.900000254313152
2021-05-05,21.35333315531413,20.76666577657064,20.383331934611004,21.736666997273765,22.323334376017254
2021-05-06,20.173333485921223,19.326666514078774,18.56333287556966,20.936667124430336,21.783334096272785
2021-05-07,20.02666664123535,19.303333282470703,18.856666564941406,20.47333335876465,21.196666717529297
2021-05-10,18.649999618530273,18.0,17.530000686645508,19.119998931884766,19.76999855041504
2021-05-11,19.18833287556966,18.076666514078774,15.943333943684895,21.32166544596354,22.433331807454426
2021-05-12,19.133333206176758,18.266666412353516,17.643333435058594,19.75666618347168,20.623332977294922
2021-05-13,18.553333282470703,17.636667251586914,16.90333366394043,19.286666870117188,20.203332901000977
2021-05-14,19.603333791097004,19.006666819254555,17.93333371480306,20.6766668955485,21.27333386739095
2021-05-17,20.19333267211914,19.896665573120117,19.333332061767578,20.75666618347168,21.053333282470703
2021-05-18,21.040000279744465,20.45999972025553,19.679999669392902,21.820000330607094,22.400000890096027
2021-05-19,20.548333485921223,20.061667124430336,19.45333417256673,21.15666643778483,21.643332799275715
2021-05-20,20.566666920979817,20.32333437601725,20.03666814168294,20.853333155314125,21.09666570027669
2021-05-21,20.793333053588867,20.426666259765625,20.10333251953125,21.116666793823242,21.483333587646484
2021-05-24,21.138333002726238,20.756665547688804,20.293331782023113,21.60166676839193,21.983334223429363
2021-05-25,21.6233336130778,21.13666661580404,20.793333689371746,21.966666539510094,22.453333536783855
2021-05-26,21.950000127156574,21.660000483194985,21.200000127156574,22.410000483194985,22.700000127156574
2021-05-27,22.350000381469727,22.0,21.299999237060547,23.05000114440918,23.400001525878906
2021-05-28,23.486666997273762,22.223333994547524,21.496667226155598,24.213333765665688,25.476666768391926
2021-06-01,22.923333485921223,22.49666659037272,21.93333371480306,23.486666361490883,23.913333257039387
2021-06-02,24.036666870117188,23.233333587646484,22.016666412353516,25.253334045410156,26.05666732788086
2021-06-03,23.74333318074544,23.226666132609047,22.823333104451496,24.146666208902992,24.663333257039387
2021-06-04,24.00666681925456,23.523333867390953,23.016667048136394,24.513333638509117,24.996666590372723
2021-06-07,24.336666742960613,23.91333325703939,23.36666742960612,24.883332570393883,25.306666056315105
2021-06-08,24.513333002726238,23.796666463216148,23.21333376566569,25.096665700276695,25.813332239786785
2021-06-09,24.359999974568684,23.980000178019203,23.790000279744465,24.549999872843422,24.929999669392902
2021-06-10,23.989999771118164,23.59000015258789,23.040000915527344,24.53999900817871,24.939998626708984
2021-06-11,24.46999994913737,24.230000813802086,23.790001551310223,24.909999211629234,25.14999834696452
2021-06-14,24.873332977294922,24.59666633605957,24.19333267211914,25.27666664123535,25.553333282470703
2021-06-15,24.78333282470703,24.016666412353516,23.623332977294922,25.176666259765625,25.94333267211914
2021-06-16,24.53333346048991,24.126666386922203,23.453333536783855,25.206666310628258,25.613333384195965
2021-06-17,25.15333302815755,24.846666971842446,24.24333318074544,25.756666819254555,26.06333287556966
2021-06-18,25.443333943684895,24.946667353312172,24.52333386739095,25.866667429606117,26.36333401997884
2021-06-21,25.15999984741211,24.770000457763672,24.1200008392334,25.809999465942383,26.19999885559082
2021-06-22,25.293333053588867,25.066665649414062,24.73333168029785,25.626667022705078,25.853334426879883
2021-06-23,25.986666997273762,25.623333613077797,24.976666768391926,26.633333841959633,26.996667226155598
2021-06-24,26.46999994913737,26.230000813802086,25.93000094095866,26.769999821980797,27.009998957316082
2021-06-25,26.678333918253582,26.346667607625328,25.913334528605144,27.111666997273765,27.44333330790202
2021-06-28,27.246666590372723,26.993333180745445,26.606667200724285,27.633332570393883,27.88666598002116
2021-06-29,26.836666742960613,26.23333295186361,25.836666742960613,27.23333295186361,27.836666742960613
2021-06-30,26.496666590372723,26.0733331044515,25.786665598551433,26.78333409627279,27.20666758219401
2021-07-01,25.146666208902996,24.16333325703939,23.606667200724285,25.7033322652181,26.686665217081707
2021-07-02,24.703333536783855,24.06666692097982,23.69333330790202,25.076667149861656,25.71333376566569
2021-07-06,24.78333346048991,24.366666158040367,24.05333201090495,25.096667607625328,25.51333491007487
2021-07-07,23.28999964396159,22.319999059041344,21.749998728434246,23.859999974568687,24.830000559488933
2021-07-08,22.84666633605957,22.483333587646484,21.886667251586914,23.44333267211914,23.806665420532227
2021-07-09,23.14666684468587,22.903334299723305,22.51666768391927,23.533333460489906,23.776666005452473
2021-07-12,23.108333587646484,22.72166633605957,22.493331909179688,23.336668014526367,23.72333526611328
2021-07-13,22.62000020345052,22.250000635782875,22.0500005086263,22.820000330607094,23.18999989827474
2021-07-14,21.89666684468587,21.173332850138344,20.78666623433431,22.283333460489906,23.006667455037434
2021-07-15,21.511666615804035,20.96833292643229,20.46666653951009,22.013333002726235,22.55666669209798
2021-07-16,21.43999989827474,21.17000071207682,20.970000584920246,21.640000025431313,21.90999921162923
2021-07-19,21.260000228881836,20.829999923706055,20.119998931884766,21.970001220703125,22.400001525878906
2021-07-20,21.916666666666668,21.48333295186361,20.786665598551433,22.613334019978844,23.046667734781902
2021-07-21,22.440000534057617,22.200000762939453,21.880001068115234,22.760000228881836,23.0
2021-07-22,22.206666310628254,21.743332544962563,21.41666539510091,22.533333460489906,22.996667226155598
2021-07-23,21.799999872843426,21.519999821980797,21.230000178019207,22.089999516805015,22.369999567667644
2021-07-26,21.969999313354492,21.639999389648438,21.149999618530273,22.459999084472656,22.78999900817871
2021-07-27,21.626667022705078,21.143333435058594,20.606666564941406,22.163333892822266,22.64666748046875
2021-07-28,22.288333257039387,21.96166674296061,21.36333401997884,22.886665980021156,23.213332494099934
2021-07-29,22.390000025431316,21.929999669392906,21.679999033610027,22.640000661214195,23.100001017252605
2021-07-30,21.941999435424805,21.477998733520508,21.24599838256836,22.173999786376953,22.63800048828125
2021-08-02,21.983333587646484,21.59666633605957,21.093332290649414,22.48666763305664,22.873334884643555
